|location|name|party
228|Edmonton West|Marcel Lambert|Progressive Conservative
229|Edmonton—Strathcona|Douglas Roche|Progressive Conservative
230|Lethbridge|Kenneth Earl Hurlburt|Progressive Conservative
231|Medicine Hat|Bert Hargrave|Progressive Conservative
232|Palliser|Stanley Schumacher|Progressive Conservative
233|Peace River|Ged Baldwin|Progressive Conservative
234|Pembina|Daniel Hollands|Progressive Conservative
235|Red Deer|Gordon Towers|Progressive Conservative
236|Rocky Mountain|Joe Clark|Progressive Conservative
237|Vegreville|Don Mazankowski|Progressive Conservative
238|Wetaskiwin|Kenneth Schellenberger|Progressive Conservative
239|Burnaby—Richmond|John Reynolds|Progressive Conservative
240|Burnaby—Seymour|Nels Nelson|New Democrat
241|Capilano|Jack Davis|Liberal
242|Coast Chilcotin|Harry Olaussen|New Democrat
243|Comox—Alberni|Tom Barnett|New Democrat
244|Esquimalt—Saanich|Donald Munro|Progressive Conservative
245|Fraser Valley East|Alexander Patterson|Progressive Conservative
246|Fraser Valley West|Mark Rose|New Democrat
247|Kamloops—Cariboo|Leonard Marchand|Liberal
248|Kootenay West|Randolph Harding|New Democrat
249|Nanaimo—Cowichan—The Islands|Tommy Douglas|New Democrat
250|New Westminster|Stuart Leggatt|New Democrat
251|Okanagan Boundary|George Whittaker|Progressive Conservative
252|Okanagan—Kootenay|William Douglas Stewart|Liberal
253|Prince George—Peace River|Frank Oberle|Progressive Conservative
254|Skeena|Frank Howard|New Democrat
255|Surrey—White Rock|Barry Mather|New Democrat
256|Vancouver Centre|Ron Basford|Liberal
257|Vancouver East|Paddy Neale|New Democrat
258|Vancouver Kingsway|Grace MacInnis|New Democrat
259|Vancouver Quadra|Bill Clarke|Progressive Conservative
260|Vancouver South|John Fraser|Progressive Conservative
261|Victoria|Allan McKinnon|Progressive Conservative
262|Northwest Territories|Wally Firth|New Democrat
263|Yukon|Erik Nielsen|Progressive Conservative
