|name|location|party
200|Sinclair Stevens|Progressive Conservative|York—Peel
201|Sergio Marchi|Liberal|York West
202|Lee Clark|Progressive Conservative|Brandon—Souris
203|Rodney Murphy|New Democrat|Churchill
204|Brian White|Progressive Conservative|Dauphin
205|Jack Murta|Progressive Conservative|Lisgar
206|Charles Mayer|Progressive Conservative|Portage—Marquette
207|Jake Epp|Progressive Conservative|Provencher
208|Léo Duguay|Progressive Conservative|Saint Boniface
209|Felix Holtmann|Progressive Conservative|Selkirk—Interlake
210|David Orlikow|New Democrat|Winnipeg North
211|Cyril Keeper|New Democrat|Winnipeg North Centre
212|Dan McKenzie|Progressive Conservative|Winnipeg—Assiniboine
213|Bill Blaikie|New Democrat|Winnipeg—Birds Hill
214|Lloyd Axworthy|Liberal|Winnipeg—Fort Garry
215|Clement Minaker|Progressive Conservative|Winnipeg—St. James
216|Leonard Gustafson|Progressive Conservative|Assiniboia
217|Vic Althouse|New Democrat|Humboldt—Lake Centre
218|Bill McKnight|Progressive Conservative|Kindersley—Lloydminster
219|Jack Scowen|Progressive Conservative|Mackenzie
220|Bill Gottselig|Progressive Conservative|Moose Jaw
221|Stan Hovdebo|New Democrat|Prince Albert
222|Alvin Hamilton|Progressive Conservative|Qu'Appelle—Moose Mountain
223|Simon De Jong|New Democrat|Regina East
224|Leslie Benjamin|New Democrat|Regina West
225|Donald Ravis|Progressive Conservative|Saskatoon East
226|Ray Hnatyshyn|Progressive Conservative|Saskatoon West
227|Geoff Wilson|Progressive Conservative|Swift Current—Maple Creek
228|John Gormley|Progressive Conservative|The Battlefords—Meadow Lake
229|Lorne Nystrom|New Democrat|Yorkton—Melville
230|Jack Shields|Progressive Conservative|Athabasca
231|Gordon Taylor|Progressive Conservative|Bow River
232|Harvie Andre|Progressive Conservative|Calgary Centre
233|Alex Kindy|Progressive Conservative|Calgary East
234|Paul Gagnon|Progressive Conservative|Calgary North
235|Bobbie Sparrow|Progressive Conservative|Calgary South
236|Jim Hawkes|Progressive Conservative|Calgary West
237|Arnold Malone|Progressive Conservative|Crowfoot
238|William Lesick|Progressive Conservative|Edmonton East
239|Steve Paproski|Progressive Conservative|Edmonton North
240|Jim Edwards|Progressive Conservative|Edmonton South
241|Murray Dorin|Progressive Conservative|Edmonton West
242|David Kilgour|Progressive Conservative|Edmonton—Strathcona
243|Blaine Thacker|Progressive Conservative|Lethbridge—Foothills
244|Robert Harold Porter|Progressive Conservative|Medicine Hat
245|Albert Cooper|Progressive Conservative|Peace River
246|Peter Elzinga|Progressive Conservative|Pembina
247|Gordon Towers|Progressive Conservative|Red Deer
248|Don Mazankowski|Progressive Conservative|Vegreville
249|Kenneth Schellenberger|Progressive Conservative|Wetaskiwin
250|Joe Clark|Progressive Conservative|Yellowhead
251|Svend Robinson|New Democrat|Burnaby
252|Mary Collins|Progressive Conservative|Capilano
253|Lorne Greenaway|Progressive Conservative|Cariboo—Chilcotin
254|Raymond Skelly|New Democrat|Comox—Powell River
255|James Manly|New Democrat|Cowichan—Malahat—The Islands
256|Patrick Crofton|Progressive Conservative|Esquimalt—Saanich
257|Ross Belsher|Progressive Conservative|Fraser Valley East
258|Robert Wenman|Progressive Conservative|Fraser Valley West
259|Nelson Riis|New Democrat|Kamloops—Shuswap
260|Stan Graham|Progressive Conservative|Kootenay East—Revelstoke
261|Robert Brisco|Progressive Conservative|Kootenay West
262|Gerry St. Germain|Progressive Conservative|Mission—Port Moody
263|Ted Schellenberg|Progressive Conservative|Nanaimo—Alberni
264|Pauline Jewett|New Democrat|New Westminster—Coquitlam
265|Chuck Cook|Progressive Conservative|North Vancouver—Burnaby
266|Vincent Dantzer|Progressive Conservative|Okanagan North
267|Frederick King|Progressive Conservative|Okanagan—Similkameen
268|Robert McCuish|Progressive Conservative|Prince George—Bulkley Valley
269|Frank Oberle, Sr.|Progressive Conservative|Prince George—Peace River
270|Tom Siddon|Progressive Conservative|Richmond—South Delta
271|James Fulton|New Democrat|Skeena
272|Benno Friesen|Progressive Conservative|Surrey—White Rock—North Delta
273|Pat Carney|Progressive Conservative|Vancouver Centre
274|Margaret Mitchell|New Democrat|Vancouver East
275|Ian Waddell|New Democrat|Vancouver Kingsway
276|John Turner|Liberal|Vancouver Quadra
277|John Fraser|Progressive Conservative|Vancouver South
278|Allan McKinnon|Progressive Conservative|Victoria
279|Thomas Suluk|Progressive Conservative|Nunatsiaq
280|Dave Nickerson|Progressive Conservative|Western Arctic
281|Erik Nielsen|Progressive Conservative|Yukon
