|name|party|location
163|Mark Gerretsen|Liberal|Kingston and the Islands
164|Raj Saini|Liberal|Kitchener Centre
165|Harold Albrecht|Conservative|Kitchener—Conestoga
166|Marwan Tabbara|Liberal|Kitchener South—Hespeler
167|Bev Shipley|Conservative|Lambton—Kent—Middlesex
168|Scott Reid|Conservative|Lanark—Frontenac—Kingston
169|Gord Brown (until May 2, 2018)|Conservative|Leeds—Grenville—Thousand Islands and Rideau Lakes
170|Irene Mathyssen|NDP|London—Fanshawe
171|Peter Fragiskatos|Liberal|London North Centre
172|Kate Young|Liberal|London West
173|Jane Philpott|Liberal|Markham—Stouffville
174|John McCallum (until January 31, 2017)|Liberal|Markham—Thornhill
175|Bob Saroya|Conservative|Markham—Unionville
176|Lisa Raitt|Conservative|Milton
177|Omar Alghabra|Liberal|Mississauga Centre
178|Peter Fonseca|Liberal|Mississauga East—Cooksville
179|Iqra Khalid|Liberal|Mississauga—Erin Mills
180|Sven Spengemann|Liberal|Mississauga—Lakeshore
181|Navdeep Bains|Liberal|Mississauga—Malton
182|Gagan Sikand|Liberal|Mississauga—Streetsville
183|Chandra Arya|Liberal|Nepean
184|Kyle Peterson|Liberal|Newmarket—Aurora
185|Vance Badawey|Liberal|Niagara Centre
186|Rob Nicholson|Conservative|Niagara Falls
187|Dean Allison|Conservative|Niagara West
188|Marc Serré|Liberal|Nickel Belt
189|Anthony Rota|Liberal|Nipissing—Timiskaming
190|Kim Rudd|Liberal|Northumberland—Peterborough South
191|John Oliver|Liberal|Oakville
192|Pam Damoff|Liberal|Oakville North—Burlington
193|Andrew Leslie|Liberal|Orléans
194|Colin Carrie|Conservative|Oshawa
195|Catherine McKenna|Liberal|Ottawa Centre
196|David McGuinty|Liberal|Ottawa South
197|Mauril Bélanger (until August 16, 2016)|Liberal|Ottawa—Vanier
198|Anita Vandenbeld|Liberal|Ottawa West—Nepean
199|Dave MacKenzie|Conservative|Oxford
200|Arif Virani|Liberal|Parkdale—High Park
201|Tony Clement|Conservative|Parry Sound—Muskoka
202|John Nater|Conservative|Perth—Wellington
203|Maryam Monsef|Liberal|Peterborough—Kawartha
204|Jennifer O'Connell|Liberal|Pickering—Uxbridge
205|Cheryl Gallant|Conservative|Renfrew—Nipissing—Pembroke
206|Majid Jowhari|Liberal|Richmond Hill
207|Marilyn Gladu|Conservative|Sarnia—Lambton
208|Terry Sheehan|Liberal|Sault Ste. Marie
209|Arnold Chan (until September 14, 2017)|Liberal|Scarborough—Agincourt
210|Salma Zahid|Liberal|Scarborough Centre
211|John McKay|Liberal|Scarborough—Guildwood
212|Shaun Chen|Liberal|Scarborough North
213|Gary Anandasangaree|Liberal|Scarborough—Rouge Park
214|Bill Blair|Liberal|Scarborough Southwest
215|Kellie Leitch|Conservative|Simcoe—Grey
216|Bruce Stanton|Conservative|Simcoe North
217|Adam Vaughan|Liberal|Spadina—Fort York
218|Chris Bittle|Liberal|St. Catharines
219|Guy Lauzon|Conservative|Stormont—Dundas—South Glengarry
220|Paul Lefebvre|Liberal|Sudbury
221|Peter Kent|Conservative|Thornhill
222|Don Rusnak|Liberal|Thunder Bay—Rainy River
223|Patty Hajdu|Liberal|Thunder Bay—Superior North
224|Charlie Angus|NDP|Timmins—James Bay
225|Bill Morneau|Liberal|Toronto Centre
226|Julie Dabrusin|Liberal|Toronto—Danforth
227|Carolyn Bennett|Liberal|Toronto—St. Paul's
228|Chrystia Freeland|Liberal|University—Rosedale
229|Francesco Sorbara|Liberal|Vaughan—Woodbridge
230|Bardish Chagger|Liberal|Waterloo
231|Michael Chong|Conservative|Wellington—Halton Hills
232|Celina Caesar-Chavannes|Liberal|Whitby
233|Ali Ehsassi|Liberal|Willowdale
234|Cheryl Hardcastle|NDP|Windsor—Tecumseh
235|Brian Masse|NDP|Windsor West
236|Michael Levitt|Liberal|York Centre
237|Peter Van Loan (until September 30, 2018)|Conservative|York—Simcoe
238|Ahmed Hussen|Liberal|York South—Weston
239|Lawrence MacAulay|Liberal|Cardigan
240|Sean Casey|Liberal|Charlottetown
241|Bobby Morrissey|Liberal|Egmont
242|Wayne Easter|Liberal|Malpeque
243|Romeo Saganash|NDP|Abitibi—Baie-James—Nunavik—Eeyou
244|Christine Moore|NDP|Abitibi—Témiscamingue
245|Mélanie Joly|Liberal|Ahuntsic-Cartierville
246|Angelo Iacono|Liberal|Alfred-Pellan
