end|index_rows|location|name|parliament_number|party|start|sex
29112005|193|Sudbury|Diane Marleau|38|Liberal|4102004|female
7092008|194|Sudbury|Diane Marleau|39|Liberal|3042006|female
23052004|186|Sudbury|Diane Marleau|37|Liberal|29012001|female
8091993|188|Sudbury|Diane Marleau|34|Liberal|12121988|female
22102000|190|Sudbury|Diane Marleau|36|Liberal|22091997|female
23052004|275|Shefford|Diane St-Jacques|37|Liberal|29012001|female
22102000|98|Shefford|Diane St-Jacques|36|Progressive Conservative then Liberal**|22091997|female
14121979|173|Scarborough Centre|Diane Stratas|31|Progressive Conservative|9101979|female
27041997|16|Cumberland—Colchester|Dianne Brushett|35|Liberal|17011994|female
11092019|64|South Surrey—White Rock|Dianne Watts (until September 29, 2017)|42|Conservative|3122015|female
26032011|55|Surrey North|Dona Cadman|40|Conservative|18112008|female
8091993|216|Winnipeg South|Dorothy Dobbie|34|Progressive Conservative|12121988|female
8091993|183|Simcoe Centre|Edna Anderson|34|Progressive Conservative|12121988|female
23052004|210|Ahuntsic|Eleni Bakopanos|37|Liberal|29012001|female
27041997|91|Saint-Denis|Eleni Bakopanos|35|Liberal|17011994|female
29112005|218|Ahuntsic|Eleni Bakopanos|38|Liberal|4102004|female
22102000|33|Ahuntsic|Eleni Bakopanos|36|Liberal|22091997|female
9051974|210|Meadow Lake|Eli Nesdoly|29|New Democrat|4011973|female
23052004|187|Thornhill|Elinor Caplan|37|Liberal|29012001|female
22102000|191|Thornhill|Elinor Caplan|36|Liberal|22091997|female
20112019|61|Saanich—Gulf Islands|Elizabeth May|43|Green|21102019|female
11092019|61|Saanich—Gulf Islands|Elizabeth May|42|Green|3122015|female
2082015|52|Saanich—Gulf Islands|Elizabeth May|41|Green|2062011|female
1021958|108||Ellen Fairclough|23|Progressive Conservative|14101957|female
6021963|108||Ellen Fairclough|25|Progressive Conservative|27091962|female
19041962|108||Ellen Fairclough|24|Progressive Conservative|12051958|female
12041957|108||Ellen Fairclough|22|Progressive Conservative|12111953|female
23052004|82|Saint John|Elsie Wayne|37|PC|29012001|female
22102000|30|Saint John|Elsie Wayne|36|Progressive Conservative|22091997|female
27041997|31|Saint John|Elsie Wayne|35|Progressive Conservative|17011994|female
20112019|309|Saint-Laurent|Emmanuella Lambropoulos|43|Liberal|21102019|female
23052004|299|Western Arctic|Ethel Blondin-Andrew|37|Liberal|29012001|female
8091993|292|Western Arctic|Ethel Blondin-Andrew|34|Liberal|12121988|female
27041997|292|Western Arctic|Ethel Blondin-Andrew|35|Liberal|17011994|female
29112005|306|Western Arctic|Ethel Blondin-Andrew|38|Liberal|4102004|female
22102000|298|Western Arctic|Ethel Blondin-Andrew|36|Liberal|22091997|female
9071984|87|Rimouski|Eva Côté|32|Liberal|14041980|female
11092019|320|Vimy|Eva Nassif|42|Liberal|3122015|female
2082015|152|Mississauga—Brampton South|Eve Adams|41|Conservative|2062011|female
20112019|156|Hamilton West—Ancaster—Dundas|Filomena Tassi|43|Liberal|21102019|female
11092019|156|Hamilton West—Ancaster—Dundas|Filomena Tassi|42|Liberal|3122015|female
9051974|134|Kingston and the Islands|Flora MacDonald|29|Progressive Conservative|4011973|female
26031979|134|Kingston and the Islands|Flora MacDonald|30|Progressive Conservative|30091974|female
